iso_code,country,date,owid_median_age
AFG,Afghanistan,2020-10-09,18.6
AFG,Afghanistan,2020-10-10,18.6
AFG,Afghanistan,2020-10-11,18.6
AFG,Afghanistan,2020-10-12,18.6
AFG,Afghanistan,2020-10-13,18.6
AFG,Afghanistan,2020-10-14,18.6
AFG,Afghanistan,2020-10-15,18.6
AFG,Afghanistan,2020-10-16,18.6
AFG,Afghanistan,2020-10-17,18.6
AFG,Afghanistan,2020-10-18,18.6
AFG,Afghanistan,2020-10-19,18.6
AFG,Afghanistan,2020-10-20,18.6
AFG,Afghanistan,2020-10-21,18.6
AFG,Afghanistan,2020-10-22,18.6
AFG,Afghanistan,2020-10-23,18.6
AFG,Afghanistan,2020-10-24,18.6
AFG,Afghanistan,2020-10-25,18.6
AFG,Afghanistan,2020-10-26,18.6
AFG,Afghanistan,2020-10-27,18.6
AFG,Afghanistan,2020-10-28,18.6
AFG,Afghanistan,2020-10-29,18.6
AFG,Afghanistan,2020-10-30,18.6
AFG,Afghanistan,2020-10-31,18.6
AFG,Afghanistan,2020-11-01,18.6
AFG,Afghanistan,2020-11-02,18.6
AFG,Afghanistan,2020-11-03,18.6
AFG,Afghanistan,2020-11-04,18.6
AFG,Afghanistan,2020-11-05,18.6
AFG,Afghanistan,2020-11-06,18.6
AFG,Afghanistan,2020-11-07,18.6
AFG,Afghanistan,2020-11-08,18.6
AFG,Afghanistan,2020-11-09,18.6
AFG,Afghanistan,2020-11-10,18.6
AFG,Afghanistan,2020-11-11,18.6
AFG,Afghanistan,2020-11-12,18.6
AFG,Afghanistan,2020-11-13,18.6
AFG,Afghanistan,2020-11-14,18.6
AFG,Afghanistan,2020-11-15,18.6
AFG,Afghanistan,2020-11-16,18.6
AFG,Afghanistan,2020-11-17,18.6
AFG,Afghanistan,2020-11-18,18.6
AFG,Afghanistan,2020-11-19,18.6
AFG,Afghanistan,2020-11-20,18.6
AFG,Afghanistan,2020-11-21,18.6
AFG,Afghanistan,2020-11-22,18.6
AFG,Afghanistan,2020-11-23,18.6
AFG,Afghanistan,2020-11-24,18.6
AFG,Afghanistan,2020-11-25,18.6
AFG,Afghanistan,2020-11-26,18.6
AFG,Afghanistan,2020-11-27,18.6
AFG,Afghanistan,2020-11-28,18.6
AFG,Afghanistan,2020-11-29,18.6
AFG,Afghanistan,2020-11-30,18.6
AFG,Afghanistan,2020-12-01,18.6
AFG,Afghanistan,2020-12-02,18.6
AFG,Afghanistan,2020-12-03,18.6
AFG,Afghanistan,2020-12-04,18.6
AFG,Afghanistan,2020-12-05,18.6
AFG,Afghanistan,2020-12-06,18.6
AFG,Afghanistan,2020-12-07,18.6
AFG,Afghanistan,2020-12-08,18.6
AFG,Afghanistan,2020-12-09,18.6
AFG,Afghanistan,2020-12-10,18.6
AFG,Afghanistan,2020-12-11,18.6
AFG,Afghanistan,2020-12-12,18.6
AFG,Afghanistan,2020-12-13,18.6
AFG,Afghanistan,2020-12-14,18.6
AFG,Afghanistan,2020-12-15,18.6
AFG,Afghanistan,2020-12-16,18.6
AFG,Afghanistan,2020-12-17,18.6
AFG,Afghanistan,2020-12-18,18.6
AFG,Afghanistan,2020-12-19,18.6
AFG,Afghanistan,2020-12-20,18.6
AFG,Afghanistan,2020-12-21,18.6
AFG,Afghanistan,2020-12-22,18.6
AFG,Afghanistan,2020-12-23,18.6
AFG,Afghanistan,2020-12-24,18.6
AFG,Afghanistan,2020-12-25,18.6
AFG,Afghanistan,2020-12-26,18.6
AFG,Afghanistan,2020-12-27,18.6
AFG,Afghanistan,2020-12-28,18.6
AFG,Afghanistan,2020-12-29,18.6
AFG,Afghanistan,2020-12-30,18.6
AFG,Afghanistan,2020-12-31,18.6
AFG,Afghanistan,2021-01-01,18.6
AFG,Afghanistan,2021-01-02,18.6
AFG,Afghanistan,2021-01-03,18.6
AFG,Afghanistan,2021-01-04,18.6
AFG,Afghanistan,2021-01-05,18.6
AFG,Afghanistan,2021-01-06,18.6
AFG,Afghanistan,2021-01-07,18.6
AFG,Afghanistan,2021-01-08,18.6
AFG,Afghanistan,2021-01-09,18.6
AFG,Afghanistan,2021-01-10,18.6
AFG,Afghanistan,2021-01-11,18.6
AFG,Afghanistan,2021-01-12,18.6
AFG,Afghanistan,2021-01-13,18.6
AFG,Afghanistan,2021-01-14,18.6
AFG,Afghanistan,2021-01-15,18.6
AFG,Afghanistan,2021-01-16,18.6
AFG,Afghanistan,2021-01-17,18.6
AFG,Afghanistan,2021-01-18,18.6
AFG,Afghanistan,2021-01-19,18.6
AFG,Afghanistan,2021-01-20,18.6
AFG,Afghanistan,2021-01-21,18.6
AFG,Afghanistan,2021-01-22,18.6
AFG,Afghanistan,2021-01-23,18.6
AFG,Afghanistan,2021-01-24,18.6
AFG,Afghanistan,2021-01-25,18.6
AFG,Afghanistan,2021-01-26,18.6
AFG,Afghanistan,2021-01-27,18.6
AFG,Afghanistan,2021-01-28,18.6
AFG,Afghanistan,2021-01-29,18.6
AFG,Afghanistan,2021-01-30,18.6
AFG,Afghanistan,2021-01-31,18.6
AFG,Afghanistan,2021-02-01,18.6
AFG,Afghanistan,2021-02-02,18.6
AFG,Afghanistan,2021-02-03,18.6
AFG,Afghanistan,2021-02-04,18.6
AFG,Afghanistan,2021-02-05,18.6
AFG,Afghanistan,2021-02-06,18.6
AFG,Afghanistan,2021-02-07,18.6
AFG,Afghanistan,2021-02-08,18.6
AFG,Afghanistan,2021-02-09,18.6
AFG,Afghanistan,2021-02-10,18.6
AFG,Afghanistan,2021-02-11,18.6
AFG,Afghanistan,2021-02-12,18.6
AFG,Afghanistan,2021-02-13,18.6
AFG,Afghanistan,2021-02-14,18.6
AFG,Afghanistan,2021-02-15,18.6
AFG,Afghanistan,2021-02-16,18.6
AFG,Afghanistan,2021-02-17,18.6
AFG,Afghanistan,2021-02-18,18.6
AFG,Afghanistan,2021-02-19,18.6
AFG,Afghanistan,2021-02-20,18.6
AFG,Afghanistan,2021-02-21,18.6
AFG,Afghanistan,2021-02-22,18.6
AFG,Afghanistan,2021-02-23,18.6
AFG,Afghanistan,2021-02-24,18.6
AFG,Afghanistan,2021-02-25,18.6
AFG,Afghanistan,2021-02-26,18.6
AFG,Afghanistan,2021-02-27,18.6
AFG,Afghanistan,2021-02-28,18.6
AFG,Afghanistan,2021-03-01,18.6
AFG,Afghanistan,2021-03-02,18.6
AFG,Afghanistan,2021-03-03,18.6
AFG,Afghanistan,2021-03-04,18.6
AFG,Afghanistan,2021-03-05,18.6
AFG,Afghanistan,2021-03-06,18.6
AFG,Afghanistan,2021-03-07,18.6
AFG,Afghanistan,2021-03-08,18.6
AFG,Afghanistan,2021-03-09,18.6
AFG,Afghanistan,2021-03-10,18.6
AFG,Afghanistan,2021-03-11,18.6
AFG,Afghanistan,2021-03-12,18.6
AFG,Afghanistan,2021-03-13,18.6
AFG,Afghanistan,2021-03-14,18.6
AFG,Afghanistan,2021-03-15,18.6
AFG,Afghanistan,2021-03-16,18.6
AFG,Afghanistan,2021-03-17,18.6
AFG,Afghanistan,2021-03-18,18.6
AFG,Afghanistan,2021-03-19,18.6
AFG,Afghanistan,2021-03-20,18.6
AFG,Afghanistan,2021-03-21,18.6
AFG,Afghanistan,2021-03-22,18.6
AFG,Afghanistan,2021-03-23,18.6
AFG,Afghanistan,2021-03-24,18.6
AFG,Afghanistan,2021-03-25,18.6
AFG,Afghanistan,2021-03-26,18.6
AFG,Afghanistan,2021-03-27,18.6
AFG,Afghanistan,2021-03-28,18.6
AFG,Afghanistan,2021-03-29,18.6
AFG,Afghanistan,2021-03-30,18.6
AFG,Afghanistan,2021-03-31,18.6
AFG,Afghanistan,2021-04-01,18.6
AFG,Afghanistan,2021-04-02,18.6
AFG,Afghanistan,2021-04-03,18.6
AFG,Afghanistan,2021-04-04,18.6
AFG,Afghanistan,2021-04-05,18.6
AFG,Afghanistan,2021-04-06,18.6
AFG,Afghanistan,2021-04-07,18.6
AFG,Afghanistan,2021-04-08,18.6
AGO,Angola,2020-03-20,16.8
AGO,Angola,2020-03-21,16.8
AGO,Angola,2020-03-22,16.8
AGO,Angola,2020-03-23,16.8
AGO,Angola,2020-03-24,16.8
AGO,Angola,2020-03-25,16.8
AGO,Angola,2020-03-26,16.8
AGO,Angola,2020-03-27,16.8
AGO,Angola,2020-03-28,16.8
AGO,Angola,2020-03-29,16.8
AGO,Angola,2020-03-30,16.8
AGO,Angola,2020-03-31,16.8
AGO,Angola,2020-04-01,16.8
AGO,Angola,2020-04-02,16.8
AGO,Angola,2020-04-03,16.8
AGO,Angola,2020-04-04,16.8
AGO,Angola,2020-04-05,16.8
AGO,Angola,2020-04-06,16.8
AGO,Angola,2020-04-07,16.8
AGO,Angola,2020-04-08,16.8
AGO,Angola,2020-04-09,16.8
AGO,Angola,2020-04-10,16.8
AGO,Angola,2020-04-11,16.8
AGO,Angola,2020-04-12,16.8
AGO,Angola,2020-04-13,16.8
AGO,Angola,2020-04-14,16.8
AGO,Angola,2020-04-15,16.8
AGO,Angola,2020-04-16,16.8
AGO,Angola,2020-04-17,16.8
AGO,Angola,2020-04-18,16.8
AGO,Angola,2020-04-19,16.8
AGO,Angola,2020-04-20,16.8
AGO,Angola,2020-04-21,16.8
AGO,Angola,2020-04-22,16.8
AGO,Angola,2020-04-23,16.8
AGO,Angola,2020-04-24,16.8
AGO,Angola,2020-04-25,16.8
AGO,Angola,2020-04-26,16.8
AGO,Angola,2020-04-27,16.8
AGO,Angola,2020-04-28,16.8
AGO,Angola,2020-04-29,16.8
AGO,Angola,2020-04-30,16.8
AGO,Angola,2020-05-01,16.8
AGO,Angola,2020-05-02,16.8
AGO,Angola,2020-05-03,16.8
AGO,Angola,2020-05-04,16.8
AGO,Angola,2020-05-05,16.8
AGO,Angola,2020-05-06,16.8
AGO,Angola,2020-05-07,16.8
AGO,Angola,2020-05-08,16.8
AGO,Angola,2020-05-09,16.8
AGO,Angola,2020-05-10,16.8
AGO,Angola,2020-05-11,16.8
AGO,Angola,2020-05-12,16.8
